,age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code_change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income_gt_50k,dataset_partition
16,8,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,other,mexican_(mexicano),female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,west,california,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1695.85,msa_to_msa,same_county,same_county,no,yes,0,both_parents_present,mexico,mexico,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
17,18,private,33,29,5,0,not_in_universe,never_married,retail_trade,other_service,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,midwest,oklahoma,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1806.9,nonmsa_to_msa,different_county_same_state,different_county_same_state,no,no,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
18,40,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,954.63,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
19,4,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,mexican-american,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2965.49,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
20,52,self-employed-not_incorporated,33,19,13,0,not_in_universe,divorced,retail_trade,sales,amer_indian_aleut_or_eskimo,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,918.02,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,no,yes,52,2,0,training_set
21,2,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,amer_indian_aleut_or_eskimo,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,grandchild_<18_never_marr_child_of_subfamily_rp,other_relative_of_householder,70.93,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
22,23,private,33,16,10,0,college_or_university,never_married,retail_trade,sales,white,all_other,female,no,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,2735.8,nonmover,nonmover,nonmover,yes,not_in_universe,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
23,47,private,37,28,9,0,not_in_universe,separated,business_and_repair_services,protective_services,black,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,1862.94,?,?,?,not_in_universe_under_1_year_old,?,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
24,28,private,21,36,3,0,not_in_universe,married-civilian_spouse_present,manufacturing-nondurable_goods,machine_operators_assmblrs_&_inspctrs,other,mexican-american,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,1327.75,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,no,not_in_universe,no,52,2,0,training_set
25,25,private,4,33,10,0,not_in_universe,married-civilian_spouse_present,construction,precision_production_craft_&_repair,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1805.32,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
26,12,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2347.63,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
27,24,private,4,34,6,0,not_in_universe,married-civilian_spouse_present,construction,precision_production_craft_&_repair,white,mexican_(mexicano),male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,west,california,spouse_of_householder,spouse_of_householder,1149.38,msa_to_msa,same_county,same_county,no,yes,1,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,52,1,0,training_set
28,62,local_government,47,21,9,1125,not_in_universe,divorced,public_administration,adm_support_including_clerical,white,all_other,female,no,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,householder,householder,1829.75,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
29,57,not_in_universe,0,0,2,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,south,utah,householder,householder,2284.19,msa_to_msa,same_county,same_county,no,yes,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
30,13,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,south,missouri,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1254.2,nonmsa_to_nonmsa,different_county_same_state,different_county_same_state,no,yes,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
31,72,not_in_universe,0,0,11,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_65+,not_in_universe,not_in_universe,householder,householder,1492.18,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
32,56,not_in_universe,0,0,2,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,secondary_individual,nonrelative_of_householder,4464.12,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
33,42,never_worked,0,0,15,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,new_entrant,unemployed_full-time,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2008.12,?,?,?,not_in_universe_under_1_year_old,?,2,not_in_universe,?,?,?,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,1,2,0,training_set
34,12,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,610.89,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
35,4,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,548.93,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
36,59,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,1000,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1781.73,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
37,3,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,cuban,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1408.9,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,cuba,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
38,87,not_in_universe,0,0,6,0,not_in_universe,widowed,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,nonfamily_householder,householder,1013.96,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
39,49,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,2664.64,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
40,64,federal_government,50,5,12,0,not_in_universe,separated,public_administration,professional_specialty,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,2648.66,nonmover,nonmover,nonmover,yes,not_in_universe,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,1,training_set
41,53,private,30,2,13,0,not_in_universe,married-civilian_spouse_present,communications,executive_admin_and_managerial,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,350,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,1618.4,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,52,1,1,training_set
42,18,private,33,19,7,0,college_or_university,never_married,retail_trade,sales,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1689.1,?,?,?,not_in_universe_under_1_year_old,?,5,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,48,2,0,training_set
43,33,private,29,38,9,0,not_in_universe,married-civilian_spouse_present,transportation,transportation_and_material_moving,other,puerto_rican,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,554.94,?,?,?,not_in_universe_under_1_year_old,?,2,not_in_universe,puerto-rico,puerto-rico,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
44,21,private,4,35,9,0,not_in_universe,never_married,construction,precision_production_craft_&_repair,white,all_other,male,not_in_universe,re-entrant,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1185.34,nonmover,nonmover,nonmover,yes,not_in_universe,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,24,1,0,training_set
45,0,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1872.64,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
46,28,private,33,42,9,0,not_in_universe,never_married,retail_trade,handlers_equip_cleaners_etc,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,761.24,nonmover,nonmover,nonmover,yes,not_in_universe,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
47,45,private,39,29,8,450,not_in_universe,never_married,personal_services_except_private_hh,other_service,white,mexican_(mexicano),male,no,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,3400.98,nonmover,nonmover,nonmover,yes,not_in_universe,1,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,26,1,0,training_set
48,38,federal_government,50,23,9,1300,not_in_universe,never_married,public_administration,adm_support_including_clerical,black,all_other,female,no,not_in_universe,children_or_armed_forces,0,0,0,head_of_household,not_in_universe,not_in_universe,child_18+_never_marr_rp_of_subfamily,child_18_or_older,463.1,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
49,9,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,3378.9,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
50,13,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1747.7,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
51,5,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,3520.94,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
52,5,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1809.29,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
53,41,private,33,35,6,0,not_in_universe,married-civilian_spouse_present,retail_trade,precision_production_craft_&_repair,white,central_or_south_american,male,no,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,northeast,north_carolina,householder,householder,2269.2,msa_to_msa,different_county_same_state,different_county_same_state,no,no,1,not_in_universe,?,?,?,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,36,1,0,training_set
54,26,self-employed-incorporated,1,44,9,0,not_in_universe,never_married,agriculture,farming_forestry_and_fishing,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,secondary_individual,nonrelative_of_householder,2634.46,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,yes,not_in_universe,no,52,2,0,training_set
55,7,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,amer_indian_aleut_or_eskimo,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_under_18_of_rp_of_unrel_subfamily,nonrelative_of_householder,1135.09,nonmover,nonmover,nonmover,yes,not_in_universe,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
56,66,not_in_universe,0,0,14,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,150,joint_both_65+,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1859.93,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
57,30,private,13,37,10,1700,not_in_universe,divorced,manufacturing-durable_goods,machine_operators_assmblrs_&_inspctrs,white,all_other,male,yes,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,3379.8,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
58,8,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,rp_of_unrelated_subfamily,nonrelative_of_householder,1421.02,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
59,10,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,puerto_rican,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1072.77,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,puerto-rico,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
